repo deepseek-ai/DeepSeek-V3.1 @ c0781d039fb7a1ba2abc4add0bdc293e92d2b8db (177 files)
  aux config.json (1686 B)
  aux generation_config.json (171 B)
  aux tokenizer.json (7847578 B)
  aux tokenizer_config.json (3744 B)
  aux model.safetensors.index.json (8898324 B)
  shard model-00001-of-000163.safetensors: 5234139343 B, header 34119 B, 270 tensors, 0 B unclaimed
  shard model-00002-of-000163.safetensors: 4302383966 B, header 75094 B, 586 tensors, 0 B unclaimed
  shard model-00003-of-000163.safetensors: 4302384375 B, header 75503 B, 586 tensors, 0 B unclaimed
  shard model-00004-of-000163.safetensors: 4302349996 B, header 73668 B, 576 tensors, 0 B unclaimed
  shard model-00005-of-000163.safetensors: 4302384154 B, header 75282 B, 586 tensors, 0 B unclaimed
  shard model-00006-of-000163.safetensors: 4372073602 B, header 75162 B, 584 tensors, 0 B unclaimed
  shard model-00007-of-000163.safetensors: 4306080097 B, header 75097 B, 588 tensors, 0 B unclaimed
  shard model-00008-of-000163.safetensors: 4302384356 B, header 75484 B, 586 tensors, 0 B unclaimed
  shard model-00009-of-000163.safetensors: 4302350190 B, header 73862 B, 576 tensors, 0 B unclaimed
  shard model-00010-of-000163.safetensors: 4302383960 B, header 75088 B, 586 tensors, 0 B unclaimed
  shard model-00011-of-000163.safetensors: 4302384375 B, header 75503 B, 586 tensors, 0 B unclaimed
  shard model-00012-of-000163.safetensors: 1321583941 B, header 23357 B, 183 tensors, 0 B unclaimed
  shard model-00013-of-000163.safetensors: 4302317244 B, header 73172 B, 573 tensors, 0 B unclaimed
  shard model-00014-of-000163.safetensors: 4302384328 B, header 75456 B, 586 tensors, 0 B unclaimed
  shard model-00015-of-000163.safetensors: 4302350218 B, header 73890 B, 576 tensors, 0 B unclaimed
  shard model-00016-of-000163.safetensors: 4302383932 B, header 75060 B, 586 tensors, 0 B unclaimed
  shard model-00017-of-000163.safetensors: 4302384377 B, header 75505 B, 586 tensors, 0 B unclaimed
  shard model-00018-of-000163.safetensors: 4302350026 B, header 73698 B, 576 tensors, 0 B unclaimed
  shard model-00019-of-000163.safetensors: 4302384124 B, header 75252 B, 586 tensors, 0 B unclaimed
  shard model-00020-of-000163.safetensors: 4302384377 B, header 75505 B, 586 tensors, 0 B unclaimed
  shard model-00021-of-000163.safetensors: 4302350413 B, header 74085 B, 576 tensors, 0 B unclaimed
  shard model-00022-of-000163.safetensors: 4302384900 B, header 76028 B, 586 tensors, 0 B unclaimed
  shard model-00023-of-000163.safetensors: 4302350808 B, header 74480 B, 576 tensors, 0 B unclaimed
  shard model-00024-of-000163.safetensors: 4302384504 B, header 75632 B, 586 tensors, 0 B unclaimed
  shard model-00025-of-000163.safetensors: 4302384961 B, header 76089 B, 586 tensors, 0 B unclaimed
  shard model-00026-of-000163.safetensors: 4302350620 B, header 74292 B, 576 tensors, 0 B unclaimed
  shard model-00027-of-000163.safetensors: 4302384692 B, header 75820 B, 586 tensors, 0 B unclaimed
  shard model-00028-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00029-of-000163.safetensors: 4302350448 B, header 74120 B, 576 tensors, 0 B unclaimed
  shard model-00030-of-000163.safetensors: 4302384884 B, header 76012 B, 586 tensors, 0 B unclaimed
  shard model-00031-of-000163.safetensors: 4302350824 B, header 74496 B, 576 tensors, 0 B unclaimed
  shard model-00032-of-000163.safetensors: 4302384488 B, header 75616 B, 586 tensors, 0 B unclaimed
  shard model-00033-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00034-of-000163.safetensors: 1747417474 B, header 31098 B, 241 tensors, 0 B unclaimed
  shard model-00035-of-000163.safetensors: 4302317817 B, header 73745 B, 573 tensors, 0 B unclaimed
  shard model-00036-of-000163.safetensors: 4302384914 B, header 76042 B, 586 tensors, 0 B unclaimed
  shard model-00037-of-000163.safetensors: 4302350794 B, header 74466 B, 576 tensors, 0 B unclaimed
  shard model-00038-of-000163.safetensors: 4302384518 B, header 75646 B, 586 tensors, 0 B unclaimed
  shard model-00039-of-000163.safetensors: 4302384963 B, header 76091 B, 586 tensors, 0 B unclaimed
  shard model-00040-of-000163.safetensors: 4302350602 B, header 74274 B, 576 tensors, 0 B unclaimed
