repo moonshotai/Kimi-K3 @ 9f62e4e9fffbd0a83ddd60e1c209d828994b3569 (118 files)
  aux config.json (7006 B)
  aux generation_config.json (53 B)
  aux tokenizer_config.json (3478 B)
  aux preprocessor_config.json (1011 B)
  aux model.safetensors.index.json (59764096 B)
  shard model-00001-of-000096.safetensors: 2341216112 B, header 2920 B, 23 tensors, 0 B unclaimed
  shard model-00002-of-000096.safetensors: 16990911504 B, header 818696 B, 5404 tensors, 0 B unclaimed
  shard model-00003-of-000096.safetensors: 16990911504 B, header 818696 B, 5404 tensors, 0 B unclaimed
  shard model-00004-of-000096.safetensors: 16567501776 B, header 817608 B, 5398 tensors, 0 B unclaimed
  shard model-00005-of-000096.safetensors: 16990911504 B, header 818696 B, 5404 tensors, 0 B unclaimed
  shard model-00006-of-000096.safetensors: 16990911504 B, header 818696 B, 5404 tensors, 0 B unclaimed
  shard model-00007-of-000096.safetensors: 16990911504 B, header 818696 B, 5404 tensors, 0 B unclaimed
  shard model-00008-of-000096.safetensors: 16567501776 B, header 817608 B, 5398 tensors, 0 B unclaimed
  shard model-00009-of-000096.safetensors: 16990911504 B, header 818696 B, 5404 tensors, 0 B unclaimed
  shard model-00010-of-000096.safetensors: 16990911504 B, header 818696 B, 5404 tensors, 0 B unclaimed
  shard model-00011-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00012-of-000096.safetensors: 16567507176 B, header 823008 B, 5398 tensors, 0 B unclaimed
  shard model-00013-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00014-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00015-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00016-of-000096.safetensors: 16567507176 B, header 823008 B, 5398 tensors, 0 B unclaimed
  shard model-00017-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00018-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
  shard model-00019-of-000096.safetensors: 16990916912 B, header 824104 B, 5404 tensors, 0 B unclaimed
