case,selected_representation,configuration,selection_accuracy,test_accuracy,history_normal_95_half_width,changed_skill0,retained_skill1,skill0_interference_loss,skill1_interference_loss,status
last_30/attribute_lms_8,True,"{""eta"": 0.03, ""rho"": 0.95}",1.0,1.0,0.0,1.0,1.0,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
last_30/attribute_window_shared,True,"{""capacity"": 128}",1.0,1.0,0.0,1.0,1.0,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
last_30/lexical_knn_routed,True,"{""capacity"": 128, ""k"": 1}",0.5,0.5,0.0,0.5,0.5,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
last_30/lexical_lms_routed,True,"{""eta"": 0.03, ""rho"": 0.95}",0.5078125,0.5,0.0,0.5,0.5,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
last_30/lexical_window_routed,True,"{""capacity"": 128}",0.5,0.5,0.0,0.5,0.5,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
last_30/model_knn_routed,False,"{""capacity"": 128, ""k"": 3}",0.53271484375,0.599365234375,0.02271246560250731,0.57373046875,0.625,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
last_30/model_knn_shared,False,"{""capacity"": 128, ""k"": 7}",0.52197265625,0.5693359375,0.02633196759164331,0.50146484375,0.63720703125,0.04296875,0.01318359375,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
last_30/model_lms_routed,False,"{""eta"": 1.0, ""rho"": 0.95}",0.50439453125,0.537353515625,0.011312978562719527,0.5185546875,0.55615234375,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
last_30/model_lms_shared,False,"{""eta"": 0.3, ""rho"": 0.98}",0.51806640625,0.54296875,0.01847454972455896,0.52685546875,0.55908203125,0.0146484375,0.0048828125,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
last_30/model_window_routed,False,"{""capacity"": 16}",0.51708984375,0.552001953125,0.018469551388440014,0.517578125,0.58642578125,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
last_30/model_window_shared,False,"{""capacity"": 16}",0.501953125,0.50927734375,0.00823448830485912,0.5205078125,0.498046875,0.0107421875,0.0810546875,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
last_30/no_memory,True,{},0.5,0.5,0.0,0.5,0.5,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_10/model_knn_routed,False,"{""capacity"": 32, ""k"": 3}",0.5556640625,0.580078125,0.02650419805409942,0.55810546875,0.60205078125,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_10/model_knn_shared,False,"{""capacity"": 128, ""k"": 1}",0.53173828125,0.617431640625,0.027385656914668405,0.53369140625,0.701171875,0.07763671875,-0.03125,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_10/model_lms_routed,True,"{""eta"": 0.03, ""rho"": 1.0}",0.5966796875,0.645263671875,0.04518453269886329,0.5673828125,0.72314453125,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_10/model_lms_shared,False,"{""eta"": 0.03, ""rho"": 0.995}",0.56494140625,0.63134765625,0.03701580796788504,0.55517578125,0.70751953125,0.03662109375,-0.04150390625,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_10/model_window_routed,True,"{""capacity"": 64}",0.58984375,0.631591796875,0.041907433597836934,0.5693359375,0.69384765625,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_10/model_window_shared,True,"{""capacity"": 128}",0.56689453125,0.63232421875,0.03787739817750217,0.5615234375,0.703125,0.0068359375,-0.0400390625,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_20/model_knn_routed,False,"{""capacity"": 128, ""k"": 1}",0.5751953125,0.561767578125,0.04306048871475459,0.48291015625,0.640625,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_20/model_knn_shared,False,"{""capacity"": 128, ""k"": 1}",0.55517578125,0.590087890625,0.03283722272225346,0.53955078125,0.640625,-0.04296875,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_20/model_lms_routed,False,"{""eta"": 0.1, ""rho"": 0.995}",0.541015625,0.486328125,0.014157552857870143,0.47265625,0.5,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_20/model_lms_shared,False,"{""eta"": 0.1, ""rho"": 1.0}",0.55126953125,0.507568359375,0.01896052730413766,0.49951171875,0.515625,0.01806640625,-0.0166015625,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_20/model_window_routed,False,"{""capacity"": 32}",0.53271484375,0.49267578125,0.014873020916323216,0.4853515625,0.5,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_20/model_window_shared,False,"{""capacity"": 16}",0.52392578125,0.49267578125,0.014873020916323216,0.4853515625,0.5,0.009765625,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_30/model_knn_routed,True,"{""capacity"": 128, ""k"": 7}",0.5849609375,0.605224609375,0.04467489848383339,0.52294921875,0.6875,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_30/model_knn_shared,True,"{""capacity"": 128, ""k"": 7}",0.5654296875,0.541259765625,0.025764698431961833,0.48486328125,0.59765625,0.0419921875,0.01220703125,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_30/model_lms_routed,False,"{""eta"": 0.3, ""rho"": 0.995}",0.587890625,0.590087890625,0.04294850257097686,0.50146484375,0.6787109375,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_30/model_lms_shared,True,"{""eta"": 0.1, ""rho"": 1.0}",0.57080078125,0.600830078125,0.041942669625534244,0.5087890625,0.69287109375,-0.00732421875,-0.0498046875,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_30/model_window_routed,False,"{""capacity"": 128}",0.56689453125,0.61962890625,0.04246396225236858,0.5380859375,0.701171875,0.0,0.0,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
mean_30/model_window_shared,False,"{""capacity"": 128}",0.55224609375,0.59130859375,0.03448355476024684,0.53515625,0.6474609375,0.01611328125,-0.00390625,"EXECUTED plaintext utility, fixed representation; no security/recovery experiments"
