operation,role,wall_seconds,peak_rss_bytes,read_seconds,keygen_seconds,encrypt_seconds,evaluate_seconds,serialize_write_seconds,decrypt_seconds,work_seconds,serialized_bytes,output_bits,and_calls,xor_calls,not_calls,mux_calls,trivial_encrypt_calls
setup,setup,0.877016458,568049664,0.0,0.623761584,0.0,0.0,0.2213625,0.0,0.845518792,,,0,0,0,0,0
issuer_init,issuer,0.245401333,189480960,0.052120625,0.0,0.167935291,0.0,0.000305875,0.0,0.220362,108441,32,0,0,0,0,0
reader_state_000,reader,0.009084958,6504448,0.0,0.0,0.0,0.0,0.0,6.959e-06,0.000494167,,,0,0,0,0,0
issuer_query,issuer,0.057052625,189120512,0.03596325,0.0,0.010720792,0.0,0.000249792,0.0,0.046934,6801,2,0,0,0,0,0
issuer_learn_001,issuer,0.103231959,189153280,0.035955542,0.0,0.055172583,0.0,0.000450542,0.0,0.091578875,33905,10,0,0,0,0,0
host_learn_001,host,9.458611541,324812800,0.158669708,0.0,0.0,9.285263083,0.001703375,0.0,9.445636458,108441,32,180,264,46,32,20
replay_learn_001,host,9.1040455,325009408,0.153527417,0.0,0.0,8.938103041,0.000349666,0.0,9.091980458,108441,32,180,264,46,32,20
reader_state_001,reader,0.0078615,6504448,0.0,0.0,0.0,0.0,0.0,7.583e-06,0.000387833,,,0,0,0,0,0
host_infer_001,host,0.289345542,324780032,0.155662875,0.0,0.0,0.121682292,0.000221542,0.0,0.277566833,3413,1,0,0,0,3,0
replay_infer_001,host,0.300797125,324550656,0.1565115,0.0,0.0,0.130508625,0.000207292,0.0,0.287227625,3413,1,0,0,0,3,0
reader_output_001,reader,0.008477875,6144000,0.0,0.0,0.0,0.0,0.0,5.833e-06,0.000358708,,,0,0,0,0,0
issuer_learn_002,issuer,0.100046875,189169664,0.036966875,0.0,0.052220375,0.0,0.000215416,0.0,0.089402833,33905,10,0,0,0,0,0
host_learn_002,host,10.003680708,325255168,0.16262075,0.0,0.0,9.825383167,0.000283583,0.0,9.98828775,108441,32,180,264,46,32,20
replay_learn_002,host,9.828866834,324845568,0.161292,0.0,0.0,9.654282208,0.000368084,0.0,9.815942625,108441,32,180,264,46,32,20
reader_state_002,reader,0.008436459,6504448,0.0,0.0,0.0,0.0,0.0,8.208e-06,0.000395334,,,0,0,0,0,0
host_infer_002,host,0.291001083,324763648,0.155191417,0.0,0.0,0.123330834,0.000249417,0.0,0.278771834,3413,1,0,0,0,3,0
replay_infer_002,host,0.293279209,324534272,0.154893084,0.0,0.0,0.12633275,0.000270292,0.0,0.281496208,3413,1,0,0,0,3,0
reader_output_002,reader,0.008098875,6127616,0.0,0.0,0.0,0.0,0.0,6.125e-06,0.000296958,,,0,0,0,0,0
