name,role,operation,wall_seconds,evaluate_seconds,peak_rss_bytes,serialized_bytes,xor_api_calls,and_api_calls,fixed_plan
query_256,issuer,query,0.08347933299955912,0.0,189136896,6801,,,
query_257,issuer,query,0.08312995798769407,0.0,189136896,6801,,,
query_272,issuer,query,0.08595008400152437,0.0,189120512,6801,,,
query_273,issuer,query,0.09048124999389984,0.0,189284352,6801,,,
query_288,issuer,query,0.10654974999488331,0.0,189169664,6801,,,
query_289,issuer,query,0.10994891700102016,0.0,189153280,6801,,,
query_304,issuer,query,0.11463333398569375,0.0,189169664,6801,,,
query_305,issuer,query,0.12155333400005475,0.0,189153280,6801,,,
query_320,issuer,query,0.13362604199210182,0.0,256376832,6801,,,
query_321,issuer,query,0.11237791701569222,0.0,189120512,6801,,,
query_336,issuer,query,0.134566624998115,0.0,189136896,6801,,,
query_337,issuer,query,0.11969437502557412,0.0,189153280,6801,,,
query_352,issuer,query,0.13031745899934322,0.0,189104128,6801,,,
query_353,issuer,query,0.13289341700146906,0.0,189005824,6801,,,
query_368,issuer,query,0.10325174999888986,0.0,189022208,6801,,,
query_369,issuer,query,0.11234854199574329,0.0,189153280,6801,,,
initial_67000_0,issuer,init,0.48182691700640135,0.0,189513728,108441,,,
initial_67000_1,issuer,init,0.3356446659890935,0.0,189218816,108441,,,
h0-e0001.issue,issuer,learn,0.15801654200186022,0.0,189186048,33905,,,
h0-e0001.primary,host,learn,18.907674415997462,18.640297542,484999168,108441,342,196,"Plan { base_algo: Dif4, base_size: 512, fft_size: 512 }"
h0-e0001.replay,host,learn,20.478385833994253,20.240048084,484933632,108441,342,196,"Plan { base_algo: Dif4, base_size: 512, fft_size: 512 }"
h0-e0002.issue,issuer,learn,0.200423583999509,0.0,189317120,33905,,,
h0-e0002.primary,host,learn,19.506844209012343,19.236560084,483885056,108441,342,196,"Plan { base_algo: Dif4, base_size: 512, fft_size: 512 }"
h0-e0002.replay,host,learn,14.090909374994226,13.805950792,484884480,108441,342,196,"Plan { base_algo: Dif4, base_size: 512, fft_size: 512 }"
h0-e0003.issue,issuer,learn,0.13151962499250658,0.0,189186048,33905,,,
h0-e0003.primary,host,learn,12.243488500011154,12.084689334,484638720,108441,342,196,"Plan { base_algo: Dif4, base_size: 512, fft_size: 512 }"
h0-e0003.replay,host,learn,12.612441584002227,12.472329333,482787328,108441,342,196,"Plan { base_algo: Dif4, base_size: 512, fft_size: 512 }"
h0-e0004.issue,issuer,learn,0.10583758298889734,0.0,189169664,33905,,,
h0-e0004.primary,host,learn,14.285437624988845,14.12023025,483655680,108441,342,196,"Plan { base_algo: Dif4, base_size: 512, fft_size: 512 }"
h0-e0004.replay,host,learn,20.394854582991684,20.118692083,483770368,108441,342,196,"Plan { base_algo: Dif4, base_size: 512, fft_size: 512 }"
h0-e0005.issue,issuer,learn,0.14055270800599828,0.0,189136896,33905,,,
h0-e0005.primary,host,learn,19.55739033300779,19.338743167,483016704,108441,342,196,"Plan { base_algo: Dif4, base_size: 512, fft_size: 512 }"
h0-e0005.replay,host,learn,18.12229924998246,17.870528708,483639296,108441,342,196,"Plan { base_algo: Dif4, base_size: 512, fft_size: 512 }"
h0-e0006.issue,issuer,learn,0.17224037501728162,0.0,189120512,33905,,,
