operation,binary,subprocess_wall_seconds,evaluation_seconds,and_calls,xor_calls,not_calls,mux_calls,trivial_encrypt_calls
setup,setup,1.0209038750035688,0.0,0,0,0,0,0
query_256,issuer,0.06571324999094941,0.0,0,0,0,0,0
query_257,issuer,0.06851900002220646,0.0,0,0,0,0,0
query_272,issuer,0.06342995801242068,0.0,0,0,0,0,0
query_273,issuer,0.06817300000693649,0.0,0,0,0,0,0
query_288,issuer,0.06777058402076364,0.0,0,0,0,0,0
query_289,issuer,0.06508133301394992,0.0,0,0,0,0,0
query_304,issuer,0.07397312502143905,0.0,0,0,0,0,0
query_305,issuer,0.06782433300395496,0.0,0,0,0,0,0
query_320,issuer,0.06686262501170859,0.0,0,0,0,0,0
query_321,issuer,0.0645923750125803,0.0,0,0,0,0,0
query_336,issuer,0.0654880000220146,0.0,0,0,0,0,0
query_337,issuer,0.07053374999668449,0.0,0,0,0,0,0
query_352,issuer,0.06534504200681113,0.0,0,0,0,0,0
query_353,issuer,0.06597066600807011,0.0,0,0,0,0,0
query_368,issuer,0.06265570799587294,0.0,0,0,0,0,0
query_369,issuer,0.06808037500013597,0.0,0,0,0,0,0
init_67000_0,issuer,0.22620554102468304,0.0,0,0,0,0,0
init_67000_1,issuer,0.2334357500076294,0.0,0,0,0,0,0
h0-e0001.issue,issuer,0.12334845800069161,0.0,0,0,0,0,0
h0-e0001.primary,host,11.835462165996432,11.658906666,180,264,46,32,20
h0-e0001.replay,host,11.751844166021328,11.577850083,180,264,46,32,20
h0-e0002.issue,issuer,0.13071712502278388,0.0,0,0,0,0,0
h0-e0002.primary,host,11.934879040985834,11.755231291,180,264,46,32,20
h0-e0002.replay,host,11.977706165984273,11.76772925,180,264,46,32,20
h0-e0003.issue,issuer,0.18964220801717602,0.0,0,0,0,0,0
h0-e0003.primary,host,17.99982133298181,17.801966333,180,264,46,32,20
h0-e0003.replay,host,12.22340070802602,12.039377209,180,264,46,32,20
h0-e0004.issue,issuer,0.12750762500218116,0.0,0,0,0,0,0
h0-e0004.primary,host,12.583960959018441,12.402698042,180,264,46,32,20
h0-e0004.replay,host,12.336067541007651,12.160329667,180,264,46,32,20
h0-e0005.issue,issuer,0.11447170801693574,0.0,0,0,0,0,0
h0-e0005.primary,host,13.206392791005783,13.024379834,180,264,46,32,20
h0-e0005.replay,host,12.972382250009105,12.790669416,180,264,46,32,20
h0-e0006.issue,issuer,0.13236899999901652,0.0,0,0,0,0,0
h0-e0006.primary,host,12.643680832989048,12.459783709,180,264,46,32,20
h0-e0006.replay,host,11.6263489999983,11.445769667,180,264,46,32,20
h0-e0007.issue,issuer,0.12931266700616106,0.0,0,0,0,0,0
h0-e0007.primary,host,12.260120332997758,12.087151583,180,264,46,32,20
h0-e0007.replay,host,14.020183499989798,13.828268458,180,264,46,32,20
h0-e0008.issue,issuer,0.22645620797993615,0.0,0,0,0,0,0
h0-e0008.primary,host,16.229738958994858,15.9906525,180,264,46,32,20
h0-e0008.replay,host,14.396822582988534,14.167473709,180,264,46,32,20
h0-e0009.issue,issuer,0.2380328750004992,0.0,0,0,0,0,0
h0-e0009.primary,host,14.818470750004053,14.426703125,180,264,46,32,20
h0-e0009.replay,host,16.19737024998176,16.003687833,180,264,46,32,20
h0-e0010.issue,issuer,0.23075749998679385,0.0,0,0,0,0,0
h0-e0010.primary,host,26.017472542007454,25.515140291,180,264,46,32,20
h0-e0010.replay,host,14.981656124989968,14.707865709,180,264,46,32,20
h0-e0011.issue,issuer,0.19963716602069326,0.0,0,0,0,0,0
h0-e0011.primary,host,17.705960624996806,17.450125875,180,264,46,32,20
h0-e0011.replay,host,13.384761332999915,13.184806042,180,264,46,32,20
h0-e0012.issue,issuer,0.1739112499926705,0.0,0,0,0,0,0
h0-e0012.primary,host,14.375665665982524,14.165781959,180,264,46,32,20
h0-e0012.replay,host,17.560838708013762,17.322504917,180,264,46,32,20
h0-e0013.issue,issuer,0.18126737501006573,0.0,0,0,0,0,0
h0-e0013.primary,host,19.669895958009874,19.408494542,180,264,46,32,20
h0-e0013.replay,host,15.887721125007374,15.647204625,180,264,46,32,20
h0-e0014.issue,issuer,0.17528274998767301,0.0,0,0,0,0,0
h0-e0014.primary,host,15.02070254200953,14.8005455,180,264,46,32,20
h0-e0014.replay,host,16.674509583011968,16.472637,180,264,46,32,20
