seed,ema_correct,window_correct,original_correct,gold_window_correct,final_queries
67000,113,113,64,128,128
67001,113,113,68,128,128
67002,113,113,68,128,128
67003,128,128,66,128,128
67004,105,105,69,128,128
67005,113,113,69,128,128
67006,113,113,68,128,128
67007,113,113,63,128,128
67008,113,113,69,128,128
67009,128,128,59,128,128
67010,128,128,73,128,128
67011,113,113,69,128,128
67012,128,128,61,128,128
67013,128,128,69,128,128
67014,113,113,64,128,128
67015,113,113,64,128,128
67016,113,113,63,128,128
67017,113,113,66,128,128
67018,128,128,66,128,128
67019,113,113,64,128,128
67020,113,113,64,128,128
67021,105,113,64,128,128
67022,128,128,70,128,128
67023,113,113,69,128,128
67024,113,113,64,128,128
67025,113,113,64,128,128
67026,113,113,63,128,128
67027,113,113,66,128,128
67028,113,113,63,128,128
67029,113,113,64,128,128
67030,113,113,64,128,128
67031,113,113,66,128,128
67032,113,105,64,128,128
67033,113,113,63,128,128
67034,128,128,64,128,128
67035,128,128,63,128,128
67036,113,113,63,128,128
67037,128,128,76,128,128
67038,113,113,63,128,128
67039,113,113,59,128,128
67040,128,128,63,128,128
67041,113,105,63,128,128
67042,113,113,66,128,128
67043,113,113,63,128,128
67044,113,105,68,128,128
67045,128,128,63,128,128
67046,128,128,69,128,128
67047,128,128,64,128,128
67048,128,128,64,128,128
67049,113,113,63,128,128
67050,128,128,76,128,128
67051,128,128,60,128,128
67052,113,113,62,128,128
67053,113,113,65,128,128
67054,113,113,66,128,128
67055,113,113,65,128,128
67056,113,113,64,128,128
67057,113,113,68,128,128
67058,113,113,62,128,128
67059,113,113,64,128,128
67060,113,105,62,128,128
67061,113,113,64,128,128
67062,113,113,69,128,128
67063,128,128,67,128,128
