rounds,extension,target_bits,challenge_exact,challenge_bits,challenge_floor_bits,old_tau,old_q,old_total_bits,old_floor_bits,old_minimal_exact,old_query_is_dominant,new_tau,new_q,new_total_bits,new_floor_bits,new_minimal_exact,new_query_is_dominant,queries_saved,fraction_saved
1,4,55,1048576/16428751811598850197311699254593454081,103.62756238530045,103,3/20,235,55.09933460470029,55,True,True,1/5,171,55.049704225738935,55,True,True,64,64/235
1,4,99,1048576/16428751811598850197311699254593454081,103.62756238530045,103,3/20,423,99.11420632672866,99,True,True,1/5,308,99.09034072126838,99,True,True,115,115/423
1,4,100,1048576/16428751811598850197311699254593454081,103.62756238530045,103,3/20,428,100.20942939611541,100,True,True,1/5,312,100.29116165634719,100,True,True,116,29/107
1,6,120,1048576/66589668549341940845377978930048497497013284102492651521,165.44134357795068,165,3/20,512,120.04620986215605,120,True,True,1/5,373,120.07917939298602,120,True,True,139,139/512
1,6,137,1048576/66589668549341940845377978930048497497013284102492651521,165.44134357795068,165,3/20,585,137.1621733732295,137,True,True,1/5,426,137.1413684176507,137,True,True,159,53/195
19,4,55,19922944/16428751811598850197311699254593454081,99.37963487185687,99,3/380,4810,55.00184524958604,55,True,True,1/95,3603,55.006124221876235,55,True,True,1207,1207/4810
19,4,99,19922944/16428751811598850197311699254593454081,99.37963487185687,99,3/380,8843,99.00162524255575,99,True,False,1/95,6624,99.00351559449336,99,True,False,2219,2219/8843
19,4,100,19922944/16428751811598850197311699254593454081,99.37963487185687,99,3/380,,,,,,1/95,,,,,,,
19,6,120,19922944/66589668549341940845377978930048497497013284102492651521,161.1934160645071,161,3/380,10495,120.00922367867315,120,True,True,1/95,7861,120.01197405167477,120,True,True,2634,2634/10495
19,6,137,19922944/66589668549341940845377978930048497497013284102492651521,161.1934160645071,161,3/380,11981,137.00147766593727,137,True,True,1/95,8974,137.0038741314056,137,True,True,3007,3007/11981
