query_position,cached_test_index,public_true_label,class,reference_signed_score,returned_signed_score,exact_match,reference_prediction,returned_prediction
0,0,card_arrival,card_arrival,1765933,1765933,True,lost_or_stolen_card,lost_or_stolen_card
0,0,card_arrival,cash_withdrawal_charge,1588186,1588186,True,lost_or_stolen_card,lost_or_stolen_card
0,0,card_arrival,card_payment_not_recognised,1697736,1697736,True,lost_or_stolen_card,lost_or_stolen_card
0,0,card_arrival,lost_or_stolen_card,1767760,1767760,True,lost_or_stolen_card,lost_or_stolen_card
0,0,card_arrival,pending_card_payment,1668537,1668537,True,lost_or_stolen_card,lost_or_stolen_card
0,0,card_arrival,pending_transfer,1549522,1549522,True,lost_or_stolen_card,lost_or_stolen_card
0,0,card_arrival,transfer_not_received_by_recipient,1640276,1640276,True,lost_or_stolen_card,lost_or_stolen_card
0,0,card_arrival,wrong_amount_of_cash_received,1586897,1586897,True,lost_or_stolen_card,lost_or_stolen_card
1,280,cash_withdrawal_charge,card_arrival,1561369,1561369,True,cash_withdrawal_charge,cash_withdrawal_charge
1,280,cash_withdrawal_charge,cash_withdrawal_charge,1796987,1796987,True,cash_withdrawal_charge,cash_withdrawal_charge
1,280,cash_withdrawal_charge,card_payment_not_recognised,1659753,1659753,True,cash_withdrawal_charge,cash_withdrawal_charge
1,280,cash_withdrawal_charge,lost_or_stolen_card,1583474,1583474,True,cash_withdrawal_charge,cash_withdrawal_charge
1,280,cash_withdrawal_charge,pending_card_payment,1616300,1616300,True,cash_withdrawal_charge,cash_withdrawal_charge
1,280,cash_withdrawal_charge,pending_transfer,1567797,1567797,True,cash_withdrawal_charge,cash_withdrawal_charge
1,280,cash_withdrawal_charge,transfer_not_received_by_recipient,1575741,1575741,True,cash_withdrawal_charge,cash_withdrawal_charge
1,280,cash_withdrawal_charge,wrong_amount_of_cash_received,1716687,1716687,True,cash_withdrawal_charge,cash_withdrawal_charge
2,160,card_payment_not_recognised,card_arrival,1623113,1623113,True,card_payment_not_recognised,card_payment_not_recognised
2,160,card_payment_not_recognised,cash_withdrawal_charge,1704545,1704545,True,card_payment_not_recognised,card_payment_not_recognised
2,160,card_payment_not_recognised,card_payment_not_recognised,1808786,1808786,True,card_payment_not_recognised,card_payment_not_recognised
2,160,card_payment_not_recognised,lost_or_stolen_card,1646020,1646020,True,card_payment_not_recognised,card_payment_not_recognised
2,160,card_payment_not_recognised,pending_card_payment,1754474,1754474,True,card_payment_not_recognised,card_payment_not_recognised
2,160,card_payment_not_recognised,pending_transfer,1645972,1645972,True,card_payment_not_recognised,card_payment_not_recognised
2,160,card_payment_not_recognised,transfer_not_received_by_recipient,1671184,1671184,True,card_payment_not_recognised,card_payment_not_recognised
2,160,card_payment_not_recognised,wrong_amount_of_cash_received,1733846,1733846,True,card_payment_not_recognised,card_payment_not_recognised
3,40,lost_or_stolen_card,card_arrival,1647830,1647830,True,lost_or_stolen_card,lost_or_stolen_card
3,40,lost_or_stolen_card,cash_withdrawal_charge,1640740,1640740,True,lost_or_stolen_card,lost_or_stolen_card
3,40,lost_or_stolen_card,card_payment_not_recognised,1655883,1655883,True,lost_or_stolen_card,lost_or_stolen_card
3,40,lost_or_stolen_card,lost_or_stolen_card,1763302,1763302,True,lost_or_stolen_card,lost_or_stolen_card
3,40,lost_or_stolen_card,pending_card_payment,1637346,1637346,True,lost_or_stolen_card,lost_or_stolen_card
3,40,lost_or_stolen_card,pending_transfer,1587898,1587898,True,lost_or_stolen_card,lost_or_stolen_card
3,40,lost_or_stolen_card,transfer_not_received_by_recipient,1645311,1645311,True,lost_or_stolen_card,lost_or_stolen_card
3,40,lost_or_stolen_card,wrong_amount_of_cash_received,1658768,1658768,True,lost_or_stolen_card,lost_or_stolen_card
4,200,pending_card_payment,card_arrival,1784751,1784751,True,pending_card_payment,pending_card_payment
4,200,pending_card_payment,cash_withdrawal_charge,1720955,1720955,True,pending_card_payment,pending_card_payment
4,200,pending_card_payment,card_payment_not_recognised,1813001,1813001,True,pending_card_payment,pending_card_payment
4,200,pending_card_payment,lost_or_stolen_card,1750500,1750500,True,pending_card_payment,pending_card_payment
4,200,pending_card_payment,pending_card_payment,1890544,1890544,True,pending_card_payment,pending_card_payment
4,200,pending_card_payment,pending_transfer,1749978,1749978,True,pending_card_payment,pending_card_payment
4,200,pending_card_payment,transfer_not_received_by_recipient,1763427,1763427,True,pending_card_payment,pending_card_payment
4,200,pending_card_payment,wrong_amount_of_cash_received,1730542,1730542,True,pending_card_payment,pending_card_payment
5,240,pending_transfer,card_arrival,1648227,1648227,True,pending_card_payment,pending_card_payment
5,240,pending_transfer,cash_withdrawal_charge,1590405,1590405,True,pending_card_payment,pending_card_payment
5,240,pending_transfer,card_payment_not_recognised,1656662,1656662,True,pending_card_payment,pending_card_payment
5,240,pending_transfer,lost_or_stolen_card,1611946,1611946,True,pending_card_payment,pending_card_payment
