'Minidregg.Compiler.ByteLogUpDefect.point_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Compiler.ByteLogUpDefect.receive_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Compiler.ByteLogUpDefect.exact_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Compiler.ByteLogUpDefect.rational_histogram' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Compiler.ByteLogUpDefect.sound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Compiler.ByteLogUpDefect.bad_probability' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Compiler.ByteLogUpDefect.no_tuple_collision' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Compiler.ByteLogUpDefect.fresh_pair_probability' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Compiler.ByteLogUpDefect.support_card_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Compiler.ByteLogUpDefect.fresh_pair_length_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Compiler.ByteLogUpDefect.wrong_histogram' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Compiler.ByteLogUpDefect.wrong_defect_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Minidregg.Compiler.ByteLogUpDefect.nonzeroPremise' depends on axioms: [propext, Classical.choice, Quot.sound]
